rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
113,WR46,Christian Watson,WR,GB,156.2,122.4,191.6,-7.5,96.2,-16.8,185.1,ACTIVE,dk+hist,0.0,0.0,0.0,9.34,0.0,42.23,774.5,6.06,0.41
114,WR47,Xavier Worthy,WR,KC,155.4,124.4,187.0,-8.3,124.1,10.1,173.3,QUESTIONABLE,dk+hist,0.0,0.0,0.0,97.57,1.13,54.16,649.5,3.3,0.0
115,TE11,T.J. Hockenson,TE,MIN,155.0,122.9,187.6,-8.5,132.8,17.8,158.2,ACTIVE,vegas,0.0,0.0,0.0,0.0,0.0,66.0,650.0,4.0,0.0
116,RB30,Jonathon Brooks,RB,CAR,154.9,123.4,186.7,-8.6,117.1,1.1,170.8,ACTIVE,vegas,0.0,0.0,0.0,684.0,4.0,34.0,245.0,1.0,1.0
117,TE12,Isaiah Likely,TE,NYG,154.4,120.8,188.7,-9.1,127.8,10.8,155.7,ACTIVE,vegas,0.0,0.0,0.0,0.0,0.0,62.0,653.0,5.0,1.44
118,TE13,Hunter Henry,TE,NE,153.5,120.4,188.4,-10.0,142.8,24.8,149.9,ACTIVE,vegas,0.0,0.0,0.0,0.0,0.0,58.0,655.0,5.0,0.0
119,WR48,Jayden Reed,WR,GB,153.5,122.4,186.8,-10.2,126.1,7.1,170.2,ACTIVE,dk+hist,0.0,0.0,0.0,66.95,0.24,53.33,674.5,4.19,0.26
120,RB31,Kenny Gainwell,RB,TB,152.3,121.8,184.2,-11.2,118.1,-1.9,177.8,ACTIVE,vegas,0.0,0.0,0.0,418.0,3.0,47.0,355.0,2.0,1.0
121,WR49,Jayden Higgins,WR,HOU,145.0,111.4,178.6,-18.7,168.4,47.4,0.0,INJURY_RESERVE,dk+hist,0.0,0.0,0.0,0.0,0.0,45.18,574.5,7.07,0.0
122,TE14,Jake Ferguson,TE,DAL,144.7,112.8,178.3,-18.8,111.3,-10.7,166.5,ACTIVE,dk+hist,0.0,0.0,0.0,0.62,0.0,68.59,524.5,4.85,2.74
123,RB32,RJ Harvey,RB,DEN,144.1,115.0,174.4,-19.4,138.8,15.8,149.5,ACTIVE,vegas,0.0,0.0,0.0,515.0,3.0,37.0,276.0,2.0,1.0
124,TE15,Chig Okonkwo,TE,WAS,143.9,113.3,175.6,-19.6,169.7,45.7,121.3,ACTIVE,vegas,0.0,0.0,0.0,7.21,0.0,61.0,591.0,4.0,0.47
125,TE16,Mark Andrews,TE,BAL,143.5,111.2,177.0,-20.0,121.1,-3.9,169.3,ACTIVE,dk+hist,0.0,0.0,0.0,32.97,0.72,49.96,499.5,5.99,0.0
126,WR50,Romeo Doubs,WR,NE,143.0,112.3,174.7,-20.7,151.5,25.5,150.2,ACTIVE,dk+hist,0.0,0.0,0.0,0.0,0.0,48.87,649.5,4.87,0.0
127,TE17,AJ Barner,TE,SEA,142.4,112.7,175.0,-21.1,169.4,42.4,113.8,ACTIVE,vegas,0.0,0.0,0.0,14.0,1.0,58.0,530.0,4.0,0.0
128,WR51,Khalil Shakir,WR,BUF,142.4,112.3,172.7,-21.3,124.4,-3.6,171.1,QUESTIONABLE,dk+hist,0.0,0.0,0.0,4.78,0.0,59.92,624.5,3.56,0.9
