rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
300,QB37,Fernando Mendoza,QB,LV,122.1,87.6,158.5,-154.3,166.8,-133.2,187.5,ACTIVE,dk+hist,2287.01,12.5,7.2,0.0,0.0,0.0,0.0,0.0,2.5
301,QB38,Mac Jones,QB,SF,115.2,82.6,149.3,-161.2,170.0,-131.0,8.6,ACTIVE,hist,1984.05,11.05,6.67,75.26,0.47,0.0,0.0,0.0,2.7
302,QB39,Will Levis,QB,TEN,114.5,77.4,153.5,-161.9,170.0,-132.0,,ACTIVE,hist,2112.65,12.89,11.85,190.32,0.0,0.0,0.0,0.0,8.44
303,QB40,Marcus Mariota,QB,WAS,103.0,73.9,133.4,-173.4,170.0,-133.0,10.2,QUESTIONABLE,hist,1189.05,8.52,3.51,232.86,1.53,0.0,0.0,0.0,2.05
304,QB41,Michael Penix Jr.,QB,ATL,88.8,61.5,117.8,-187.6,170.1,-133.9,113.6,QUESTIONABLE,hist,1499.18,6.5,3.23,46.41,1.29,0.0,0.0,0.0,1.54
305,QB42,Spencer Rattler,QB,NO,86.2,58.6,113.9,-190.2,170.0,-135.0,9.0,ACTIVE,hist,1508.14,6.48,5.13,164.35,0.0,0.61,0.0,0.0,3.41
306,QB43,Shedeur Sanders,QB,CLE,85.8,56.9,115.7,-190.6,169.6,-136.4,98.0,ACTIVE,hist,1414.23,7.03,9.88,169.65,1.12,0.0,0.0,0.0,1.43
307,QB44,Jameis Winston,QB,NYG,81.9,54.3,111.1,-194.5,169.9,-137.1,8.6,ACTIVE,hist,1151.4,4.98,4.78,48.12,1.78,1.33,44.83,1.46,2.28
308,QB45,Deshaun Watson,QB,CLE,75.1,50.7,101.1,-201.3,170.0,-138.0,123.9,ACTIVE,hist,1172.0,5.02,3.01,153.02,1.19,0.0,0.0,0.0,4.14
309,QB46,Dillon Gabriel,QB,CLE,71.0,47.0,95.8,-205.4,170.0,-139.0,,ACTIVE,hist,943.25,7.07,2.01,90.16,0.0,0.0,0.0,0.0,0.0
310,QB47,Tyler Huntley,QB,BAL,47.8,28.5,67.8,-228.6,170.0,-140.0,8.7,ACTIVE,hist,563.55,2.36,1.28,152.9,0.85,0.0,0.0,0.0,1.01
